Team,Player
UserTeam1,Allie Turner
UserTeam1,Ella Brubaker
UserTeam1,Kennedie Shuler
UserTeam1,Zeryhia Aokuso
UserTeam1,Ines Bettencourt
UserTeam1,Ryanne Bahnsen-Price
UserTeam1,Lina Falk
UserTeam1,Ally Schimel
UserTeam1,Tyler Gildersleeve-Stiles
UserTeam1,Sophia Priestley
UserTeam1,Jayden Rhodes
UserTeam2,Lauren Whittaker
UserTeam2,Maia Jones
UserTeam2,Ashley Hawkins
UserTeam2,Jenna Villa
UserTeam2,Stella Szabo
UserTeam2,Camille Dake
UserTeam2,Taylor Smith
UserTeam2,Florence Dallow
UserTeam2,Kylee Fox
UserTeam2,Natalie Fraley
UserTeam2,Ellison Guiney
UserTeam3,Sophie Glancey
UserTeam3,Maya Hernandez
UserTeam3,Michelle Ugwah
UserTeam3,Lucy Larson
UserTeam3,Shorna Preston
UserTeam3,Amy Kurkowski
UserTeam3,Lainey Spear
UserTeam3,Taija Sta. Maria
UserTeam3,LaMiracle Lebon
UserTeam3,Dylan Mogel
UserTeam3,Rhyan Mogel
UserTeam4,Candy Edokpaigbe
UserTeam4,Eleonora Villa
UserTeam4,Alex Covill
UserTeam4,Jess Lawson
UserTeam4,Luisa Anderegg
UserTeam4,Sydney Ward
UserTeam4,Meghan Fiso
UserTeam4,Teryn Gardner
UserTeam4,Irune Orio
UserTeam4,Susana Yepes
UserTeam4,Lauren McCall
UserTeam5,Tiara Bolden
UserTeam5,Kylie Ray
UserTeam5,Lizzy Williamson
UserTeam5,Malia Ruud
UserTeam5,Ivana Krajina
UserTeam5,Julia Dalan
UserTeam5,Bella Green
UserTeam5,Paula Tirado
UserTeam5,Lilly Amor
UserTeam5,Ava Schmidt
UserTeam5,Edie Clarke
UserTeam6,Malia Latu
UserTeam6,Helen Holley
UserTeam6,Dyani Ananiev
UserTeam6,Daria Nestorov
UserTeam6,Carly Heidger
UserTeam6,Paula Reus Piza
UserTeam6,Andjela Matic
UserTeam6,Aina Cargol
UserTeam6,Meghan McIntyre
UserTeam6,Mara Neira
UserTeam6,Andjela Bigovic
